Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,STL,NL,155,98,57,.632,W 1,4.0,3.2,0.8,-0.3,0.6,94-61,4,11-9,55-25,43-32,8-8,32-23,74-39,24-18,44-30,54-27,7-3,11-9,18-12
2,PIT,NL,155,95,60,.613,W 8,4.4,3.7,0.7,-0.3,0.4,90-65,5,13-7,50-25,45-35,11-9,36-17,75-46,20-14,41-29,54-31,8-2,14-6,19-11
3,KCR,AL,154,89,65,.578,L 2,4.5,4.1,0.4,0.2,0.6,84-70,5,13-6,50-30,39-35,9-5,23-16,61-38,28-27,39-39,50-26,4-6,7-13,13-17
4,TOR,AL,154,89,65,.578,W 3,5.5,4.1,1.4,0.2,1.6,98-56,-9,12-8,52-28,37-37,8-6,13-27,69-51,20-14,42-25,47-40,7-3,13-7,20-10
5,CHC,NL,154,89,65,.578,L 3,4.3,3.9,0.4,-0.2,0.1,83-71,6,9-10,47-32,42-33,12-5,32-21,70-51,19-14,42-32,47-33,6-4,12-8,16-14
6,NYM,NL,155,88,67,.568,W 3,4.3,3.8,0.5,-0.4,0.1,86-69,2,9-11,48-30,40-37,9-6,24-23,68-52,20-15,24-35,64-32,5-5,13-7,19-11
7,LAD,NL,154,87,67,.565,L 2,4.1,3.7,0.4,-0.3,0.1,85-69,2,10-10,52-26,35-41,6-8,21-25,65-49,22-18,26-35,61-32,4-6,11-9,19-11
8,NYY,AL,154,85,69,.552,W 1,4.8,4.2,0.6,0.3,0.9,86-68,-1,11-9,43-33,42-36,4-8,23-23,59-49,26-20,31-37,54-32,6-4,10-10,16-14
9,TEX,AL,154,84,70,.545,L 1,4.6,4.5,0.1,0.2,0.3,78-76,6,11-9,39-35,45-35,5-4,26-20,52-41,32-29,40-32,44-38,7-3,13-7,20-10
10,HOU,AL,155,81,74,.523,W 1,4.4,3.8,0.6,0.2,0.8,88-67,-7,14-3,52-28,29-46,8-6,19-29,53-45,28-29,37-40,44-34,4-6,7-13,12-18
11,SFG,NL,154,80,74,.519,W 1,4.4,3.8,0.5,-0.3,0.2,86-68,-6,12-7,44-30,36-44,5-5,16-27,60-54,20-20,27-31,53-43,4-6,11-9,14-16
